"ID","date","link","text","score","value"
0,"10/2/2016","/KimKardashian/status/782694393216110592","Hey guys! Meet my #KimKardashianGame character at the So Chic Boutique in Downtown LA for a surprise ;)pic.twitter.com/7fNjRJyDbT",1,"Kim"
1,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA
3,"10/1/2016","/KimKardashian/status/782260907900567552","Kourtney and Kim Take Parispic.twitter.com/VXw2P2GTvU",0,"Kim"
3,"10/1/2016","/KimKardashian/status/782260907900567552","Kourtney and Kim Take Parispic.twitter.com/VXw2P2GTvU",0,"Kourtney"
4,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA
20,"9/21/2016","/KimKardashian/status/778712397502525440"," I did my hair and make up myself! Rare and proud momenthttps://twitter.com/molestmekardash/status/778671443693412352 …",1,"Kris"
21,"9/20/2016","/KimKardashian/status/778372836259835904","I'm in Houston, @MyleezaKardash is in Houston!! Who says we do a live stream backstage at the Saint Pablo tour??? Tweet her questions",1,"Saint"
22,NA,NA,NA,NA,NA
23,"9/19/2016","/KimKardashian/status/777970399816671232","I'm going to Paris fashion week! Who is coming with me in the Kim Kardashian Hollywood game? Own your own fashion house in Paris in the gamepic.twitter.com/qMN0vB3BOn",0,"Kim"
24,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
32,"9/14/2016","/KimKardashian/status/776243652561600512","Gonna live stream backstage at Kanye's concert! Log in",0,"Kanye"
