"ID","name","date","link","text","score","exclam"
0,"Kim","10/2/2016","/KimKardashian/status/782694393216110592","Hey guys! Meet my #KimKardashianGame character at the So Chic Boutique in Downtown LA for a surprise ;)pic.twitter.com/7fNjRJyDbT",1,1
1,NA,"10/2/2016","/KimKardashian/status/782632831780618240","This guy is always in my shot!pic.twitter.com/7LC6ewaYPO",0,1
2,NA,"10/2/2016","/KimKardashian/status/782559825205071872","Balenciaga. No make up today.pic.twitter.com/l2WknhHoiy",0,0
3,"Kim","10/1/2016","/KimKardashian/status/782260907900567552","Kourtney and Kim Take Parispic.twitter.com/VXw2P2GTvU",0,0
3,"Kourtney","10/1/2016","/KimKardashian/status/782260907900567552","Kourtney and Kim Take Parispic.twitter.com/VXw2P2GTvU",0,0
4,NA,"10/1/2016","/KimKardashian/status/782259209459101697","GIVENCHY COUTUREpic.twitter.com/jHxTIuHzzo",0,0
5,"Kanye","10/2/2016","/KimKardashian/status/782535762554290176","The Yeezy Show Room in Paris is heaven.",1,0
6,NA,"10/2/2016","/KimKardashian/status/782495814472044544","Think I'm gonna wear no make up today to the Balenciaga show.",0,0
7,NA,"10/1/2016","/KimKardashian/status/782373703732592640","Just finished the Amanda Knox doc. I don't think they did it. I really want a Natalie Halloway doc & they need to solve that crime. So sad!",-2,1
8,NA,"10/1/2016","/KimKardashian/status/782162692882702336","Paris Squadpic.twitter.com/AC6BtjEcmT",0,0
9,NA,"9/30/2016","/KimKardashian/status/781973454656507904","Came home early from the fashion festivities to watch the Netflix Amanda Knox doc. Cannot wait to see this! Anyone see it yet? Thoughts?",0,1
10,NA,"9/30/2016","/KimKardashian/status/781861302486654976","Hair flip & eye roll at the same damn time!pic.twitter.com/3RgYR9Fn2v",-1,1
11,NA,"9/29/2016","/KimKardashian/status/781587399331737600","Sister Slaypic.twitter.com/Dy8FAt9qmQ",0,0
12,NA,"9/29/2016","/KimKardashian/status/781512464466866176","On the way to Balmainpic.twitter.com/veZI9vvLXp",0,0
13,NA,"9/28/2016","/KimKardashian/status/781165302314831872","My security @PascalDuvier is a G",0,0
14,NA,"9/27/2016","/KimKardashian/status/780943880300662784","NYC  PARISpic.twitter.com/q6gNItIf1t",0,0
15,NA,"9/27/2016","/KimKardashian/status/780934275273285632","Currently @Andypic.twitter.com/QVhNFEa4TH",0,0
16,NA,"9/27/2016","/KimKardashian/status/780783204504436736","He is desperately searching for a bone marrow match to survive, and you could be that match!!",-1,2
17,NA,"9/27/2016","/KimKardashian/status/780783063697494016","He is 31 and a father of three who was recently diagnosed with an aggressive blood cancer called primary myelofibrosis.",-2,0
18,NA,"9/27/2016","/KimKardashian/status/780783029614551040","My best friend Allison’s 2 year old son is in school with a little boy called Joel, and his dad Adam needs our help!pic.twitter.com/N7V1gfOJLm",1,1
19,NA,"9/25/2016","/KimKardashian/status/780078296046276608","I hope this documentary gets this cold case solved or even reopened. I pray JonBenét gets justice.",-1,0
20,"Kris","9/21/2016","/KimKardashian/status/778712397502525440"," I did my hair and make up myself! Rare and proud momenthttps://twitter.com/molestmekardash/status/778671443693412352 …",1,1
21,"Saint","9/20/2016","/KimKardashian/status/778372836259835904","I'm in Houston, @MyleezaKardash is in Houston!! Who says we do a live stream backstage at the Saint Pablo tour??? Tweet her questions",1,2
22,NA,"9/19/2016","/KimKardashian/status/778085832251023361","Major side eye pic.twitter.com/djA2NQP6V8",0,0
23,"Kim","9/19/2016","/KimKardashian/status/777970399816671232","I'm going to Paris fashion week! Who is coming with me in the Kim Kardashian Hollywood game? Own your own fashion house in Paris in the gamepic.twitter.com/qMN0vB3BOn",0,1
24,NA,"9/19/2016","/KimKardashian/status/777909597789184000","SHEER VIBES http://bit.ly/2cCwJZg pic.twitter.com/ZpgFxSzyBv",0,0
25,NA,"9/18/2016","/KimKardashian/status/777639249847980032","Excited for Rob & Chyna tonight! Tune into E!",1,2
26,NA,"9/17/2016","/KimKardashian/status/777364430556434433","Tonightpic.twitter.com/lX9wgrIUvb",0,0
27,NA,"9/17/2016","/KimKardashian/status/777185004292042752","Bathroom selfie right before Pablo hits the stagepic.twitter.com/N5wXpFUViK",1,0
