"word","freq"
"just",29
"get",27
"people",26
"lol",24
"hate",23
"funny",20
"will",17
"crazy",16
"miss",16
"today",16
"cry",15
"need",14
"want",14
"hard",13
"sad",13
"asleep",12
"see",12
"sick",12
"back",11
"believe",11
"can",11
"come",11
"now",11
"omg",11
"gonna",10
"make",10
"tonight",10
"weird",10
"baby",9
"home",9
"makes",9
"mom",9
"one",9
"really",9
"someone",9
"sorry",9
"watching",9
"anyone",8
"bad",8
"everyone",8
"got",8
"never",8
"time",8
"wrong",8
"fall",7
"going",7
"know",7
"much",7
"must",7
"new",7
"please",7
"still",7
"stop",7
"think",7
"week",7
"workout",7
"badly",6
"death",6
"die",6
"family",6
"feeling",6
"intense",6
"kourtneykardash",6
"last",6
"literally",6
"old",6
"phone",6
"pics",6
"robkardashian",6
"rumors",6
"selfish",6
"sooo",6
"ugh",6
"watch",6
"check",5
"cold",5
"dark",5
"died",5
"diet",5
"dirty",5
"episode",5
"even",5
"ever",5
"face",5
"feel",5
"help",5
"killed",5
"kim",5
"lazy",5
"life",5
"murder",5
"news",5
"night",5
"said",5
"scared",5
"shoot",5
"sleep",5
"stories",5
"story",5
"trying",5
"always",4
"annoying",4
"app",4
"bed",4
"break",4
"called",4
"crying",4
"day",4
"early",4
"eat",4
"fake",4
"families",4
"fell",4
"find",4
"flight",4
"frustrating",4
"grind",4
"gross",4
"guys",4
"hair",4
"heart",4
"hope",4
"hurt",4
"japan",4
"jealous",4
"khloe",4
"kill",4
"kinda",4
"kyliejenner",4
"little",4
"lost",4
"made",4
"missed",4
"movie",4
"post",4
"prayers",4
"rude",4
"say",4
"scary",4
"scream",4
"seen",4
"shake",4
"show",4
"soooo",4
"tell",4
"true",4
"twitter",4
"workouts",4
"worry",4
"year",4
"years",4
"almost",3
"annoyed",3
"away",3
"brother",3
"bruce",3
"cancer",3
"case",3
"casey",3
"close",3
"cried",3
"dating",3
"dead",3
"dear",3
"disease",3
"dope",3
"drive",3
"dying",3
"eating",3
"every",3
"false",3
"fear",3
"getting",3
"girl",3
"guess",3
"guns",3
"haters",3
"house",3
"jet",3
"joke",3
"keep",3
"kids",3
"kuwtk",3
"laugh",3
"laughing",3
"law",3
"let",3
"liar",3
"like",3
"live",3
"look",3
"looks",3
"loud",3
"lying",3
